#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
355 0.095233 0.687043 0.077112 0.077112 0.077112 0.077112
356 0.095466 0.686686 0.077199 0.077199 0.077199 0.077199
357 0.095699 0.686301 0.077294 0.077294 0.077294 0.077294
358 0.095932 0.685886 0.077395 0.077395 0.077395 0.077395
359 0.096165 0.685440 0.077504 0.077504 0.077504 0.077504
360 0.096398 0.684963 0.077621 0.077621 0.077621 0.077621
361 0.096631 0.684453 0.077746 0.077746 0.077746 0.077746
362 0.096863 0.683910 0.077880 0.077880 0.077880 0.077880
363 0.097096 0.683333 0.078021 0.078021 0.078021 0.078021
364 0.097329 0.682722 0.078171 0.078171 0.078171 0.078171
365 0.097561 0.682077 0.078330 0.078330 0.078330 0.078330
366 0.097794 0.681396 0.078498 0.078498 0.078498 0.078498
367 0.098027 0.680679 0.078674 0.078674 0.078674 0.078674
368 0.098259 0.679927 0.078859 0.078859 0.078859 0.078859
369 0.098492 0.679139 0.079053 0.079053 0.079053 0.079053
370 0.098724 0.678316 0.079256 0.079256 0.079256 0.079256
371 0.098956 0.677456 0.079468 0.079468 0.079468 0.079468
372 0.099189 0.676562 0.079688 0.079688 0.079688 0.079688
373 0.099421 0.675632 0.079917 0.079917 0.079917 0.079917
374 0.099653 0.674667 0.080155 0.080155 0.080155 0.080155
375 0.099886 0.673669 0.080401 0.080401 0.080401 0.080401
376 0.100118 0.672636 0.080656 0.080656 0.080656 0.080656
377 0.100350 0.671570 0.080919 0.080919 0.080919 0.080919
378 0.100582 0.670472 0.081190 0.081190 0.081190 0.081190
379 0.100814 0.669343 0.081468 0.081468 0.081468 0.081468
380 0.101046 0.668182 0.081754 0.081754 0.081754 0.081754
381 0.101278 0.666992 0.082048 0.082048 0.082048 0.082048
382 0.101510 0.665774 0.082349 0.082349 0.082349 0.082349
383 0.101742 0.664528 0.082656 0.082656 0.082656 0.082656
384 0.101974 0.663256 0.082970 0.082970 0.082970 0.082970
385 0.102206 0.661958 0.083290 0.083290 0.083290 0.083290
386 0.102438 0.660638 0.083616 0.083616 0.083616 0.083616
387 0.102669 0.659294 0.083948 0.083948 0.083948 0.083948
388 0.102901 0.657930 0.084285 0.084285 0.084285 0.084285
389 0.103133 0.656547 0.084626 0.084626 0.084626 0.084626
390 0.103364 0.655146 0.084972 0.084972 0.084972 0.084972
391 0.103596 0.653729 0.085322 0.085322 0.085322 0.085322
392 0.103828 0.652297 0.085676 0.085676 0.085676 0.085676
393 0.104059 0.650853 0.086033 0.086033 0.086033 0.086033
394 0.104291 0.649397 0.086392 0.086392 0.086392 0.086392
395 0.104522 0.647932 0.086754 0.086754 0.086754 0.086754
396 0.104753 0.646459 0.087118 0.087118 0.087118 0.087118
397 0.104985 0.644980 0.087483 0.087483 0.087483 0.087483
398 0.105216 0.643497 0.087850 0.087850 0.087850 0.087850
399 0.105447 0.642012 0.088217 0.088217 0.088217 0.088217
400 0.105679 0.640526 0.088584 0.088584 0.088584 0.088584
401 0.105910 0.639041 0.088951 0.088951 0.088951 0.088951
402 0.106141 0.637559 0.089317 0.089317 0.089317 0.089317
403 0.106372 0.636082 0.089682 0.089682 0.089682 0.089682
404 0.106603 0.634612 0.090046 0.090046 0.090046 0.090046
405 0.106834 0.633150 0.090407 0.090407 0.090407 0.090407
406 0.107065 0.631697 0.090766 0.090766 0.090766 0.090766
407 0.107296 0.630257 0.091122 0.091122 0.091122 0.091122
408 0.107527 0.628829 0.091475 0.091475 0.091475 0.091475
