#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
390 0.102281 0.661489 0.083406 0.083406 0.083406 0.083406
391 0.102517 0.660135 0.083740 0.083740 0.083740 0.083740
392 0.102754 0.658759 0.084080 0.084080 0.084080 0.084080
393 0.102990 0.657362 0.084425 0.084425 0.084425 0.084425
394 0.103226 0.655945 0.084775 0.084775 0.084775 0.084775
395 0.103462 0.654511 0.085129 0.085129 0.085129 0.085129
396 0.103698 0.653061 0.085487 0.085487 0.085487 0.085487
397 0.103934 0.651596 0.085849 0.085849 0.085849 0.085849
398 0.104170 0.650120 0.086214 0.086214 0.086214 0.086214
399 0.104406 0.648632 0.086581 0.086581 0.086581 0.086581
400 0.104642 0.647136 0.086951 0.086951 0.086951 0.086951
401 0.104878 0.645633 0.087322 0.087322 0.087322 0.087322
402 0.105114 0.644125 0.087694 0.087694 0.087694 0.087694
403 0.105350 0.642614 0.088068 0.088068 0.088068 0.088068
404 0.105585 0.641101 0.088442 0.088442 0.088442 0.088442
405 0.105821 0.639589 0.088815 0.088815 0.088815 0.088815
406 0.106057 0.638080 0.089188 0.089188 0.089188 0.089188
407 0.106292 0.636575 0.089560 0.089560 0.089560 0.089560
408 0.106528 0.635076 0.089931 0.089931 0.089931 0.089931
409 0.106763 0.633585 0.090299 0.090299 0.090299 0.090299
410 0.106998 0.632104 0.090665 0.090665 0.090665 0.090665
411 0.107234 0.630635 0.091028 0.091028 0.091028 0.091028
412 0.107469 0.629179 0.091388 0.091388 0.091388 0.091388
413 0.107704 0.627739 0.091744 0.091744 0.091744 0.091744
414 0.107940 0.626314 0.092096 0.092096 0.092096 0.092096
415 0.108175 0.624909 0.092444 0.092444 0.092444 0.092444
416 0.108410 0.623523 0.092787 0.092787 0.092787 0.092787
417 0.108645 0.622158 0.093124 0.093124 0.093124 0.093124
418 0.108880 0.620817 0.093456 0.093456 0.093456 0.093456
419 0.109115 0.619499 0.093782 0.093782 0.093782 0.093782
420 0.109350 0.618207 0.094102 0.094102 0.094102 0.094102
421 0.109585 0.616942 0.094415 0.094415 0.094415 0.094415
422 0.109820 0.615704 0.094721 0.094721 0.094721 0.094721
423 0.110054 0.614495 0.095020 0.095020 0.095020 0.095020
424 0.110289 0.613317 0.095311 0.095311 0.095311 0.095311
425 0.110524 0.612169 0.095596 0.095596 0.095596 0.095596
426 0.110759 0.611052 0.095872 0.095872 0.095872 0.095872
427 0.110993 0.609968 0.096140 0.096140 0.096140 0.096140
428 0.111228 0.608917 0.096400 0.096400 0.096400 0.096400
429 0.111462 0.607900 0.096652 0.096652 0.096652 0.096652
430 0.111697 0.606917 0.096896 0.096896 0.096896 0.096896
